name,terminology,code,term,name_orig
qcovid_PrescribedImmunoSupp,DMD,703788008,Product containing precisely teriflunomide 14 milligram/1 each conventional release oral tablet (clinical drug),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,327090002,Product containing precisely ciclosporin 10 milligram/1 each conventional release oral capsule (clinical drug),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,SNOMED,188515006,Burkitt tumor of intrapelvic lymph nodes,CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,SNOMED,204448004,Atresia of pulmonary artery with septal defect (disorder),CongenitalHeartProblem
qcovid_ParkinsonsDisease,SNOMED,230292008,Secondary parkinsonism (disorder),ParkinsonsDisease
qcovid_SevereCombinedImmuno,SNOMED,25109007,Lymphopenic agammaglobulinemia - short-limbed dwarfism syndrome (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_CancerOfBloodOrBoneM,SNOMED,277654008,Enteropathy-associated T-cell lymphoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_LungOrOralCancer,SNOMED,363390005,Malignant tumor of palate (disorder),LungOrOralCancer
qcovid_BipolarDiseaseOrSchi,SNOMED,371596008,Bipolar I disorder (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CongenitalHeartProbl,SNOMED,63934006,Overriding aorta (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,66403007,Vascular ring of aorta (disorder),CongenitalHeartProblem
qcovid_MotorNeuroneDiseaseO,SNOMED,86044005,Amyotrophic lateral sclerosis (disorder),MotorNeuroneDiseaseOrMultipleSclerosisOrMyaestheniaOrHuntingtonsChorea
qcovid_Epilepsy,SNOMED,193003000,Mesiobasal limbic epilepsy (disorder),Epilepsy
qcovid_Diabetes,SNOMED,420436000,Mononeuropathy due to type 2 diabetes mellitus (disorder),Diabetes
qcovid_MotorNeuroneDiseaseO,SNOMED,54304004,Progressive bulbar palsy (disorder),MotorNeuroneDiseaseOrMultipleSclerosisOrMyaestheniaOrHuntingtonsChorea
qcovid_CancerOfBloodOrBoneM,SNOMED,93151007,Hairy cell leukemia of spleen (disorder),CancerOfBloodOrBoneMarrow
qcovid_ChronicKidneyDisease,SNOMED,950251000000106,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1 (disorder),ChronicKidneyDisease
qcovid_SolidOrganTransplant,OPCS4,Y018,Other specified replacement of organ NOC,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
